Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Inside,-0.150,1.245,-19.805,-0.218,1.210,-19.805,0.077,-0.108,0.873,-19.956,-0.231,1.070,-19.825,0.266,Strike,Take
Sub_Test01,2,Active_Noise,Straight,Mid Inside,-0.116,1.014,-19.894,0.034,0.935,-19.894,0.169,-0.076,0.810,-19.949,-0.029,0.935,-19.908,0.140,Strike,Take
Sub_Test01,3,Active_Noise,Straight,High Inside,-0.165,1.258,-19.848,-0.155,1.330,-19.848,0.073,-0.045,0.919,-20.032,-0.102,0.911,-19.944,0.105,Ball_Missed,Take
Sub_Test01,4,Active_Noise,Straight,High Inside,-0.155,1.277,-19.775,-0.225,1.365,-19.775,0.113,-0.118,0.907,-19.948,-0.187,0.670,-20.061,0.271,Ball_Missed,Take
Sub_Test01,5,Active_Noise,Straight,High Inside,-0.175,1.211,-19.822,0.036,1.109,-19.822,0.234,-0.111,0.942,-19.945,0.010,1.072,-19.835,0.209,Strike_PassedBall,Take
Sub_Test01,6,Active_Noise,Straight,High Inside Center Ball,-0.211,1.412,-19.781,-0.314,1.396,-19.781,0.104,-0.128,1.289,-19.873,-0.308,1.484,-19.805,0.275,Ball_PassedBall,Take
Sub_Test01,7,Active_Noise,Straight,High Inside Center Ball,-0.148,1.322,-19.755,-0.026,1.420,-19.755,0.156,-0.097,0.938,-19.990,-0.054,1.331,-19.817,0.431,Ball,Take
Sub_Test01,8,Active_Noise,Straight,High Inside,-0.122,1.247,-19.764,0.045,1.390,-19.764,0.220,-0.042,1.295,-19.966,-0.036,1.417,-19.801,0.205,Ball,Take
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.142,1.276,-19.820,-0.160,1.074,-19.820,0.202,-0.045,1.284,-19.970,-0.144,1.020,-19.748,0.359,Strike_Missed,Take
Sub_Test01,10,Active_Noise,Straight,High Inside Center Ball,-0.129,1.311,-19.854,-0.118,1.558,-19.854,0.247,-0.050,0.946,-20.111,-0.189,1.547,-19.991,0.628,Ball_Missed,Take
Sub_Test01,11,Active_Noise,Straight,High Inside,-0.114,1.239,-19.848,-0.184,1.103,-19.848,0.152,-0.161,0.955,-20.173,-0.187,1.129,-20.035,0.224,Strike,Take
Sub_Test01,12,Active_Noise,Straight,High Inside,-0.122,1.269,-19.862,0.002,1.482,-19.862,0.247,-0.029,1.245,-19.982,-0.072,1.475,-19.820,0.284,Ball_PassedBall,Take
Sub_Test01,13,Active_Noise,Straight,High Inside,-0.132,1.291,-19.861,0.086,1.216,-19.861,0.231,-0.064,1.277,-19.976,-0.008,1.133,-19.761,0.264,Strike_PassedBall,Take
Sub_Test01,14,Active_Noise,Straight,High Inside Center Ball,-0.142,1.321,-19.783,-0.019,1.427,-19.783,0.162,-0.105,1.315,-19.987,-0.038,1.403,-19.866,0.164,Ball,Take
Sub_Test01,15,Active_Noise,Straight,High Inside,-0.138,1.250,-19.825,-0.248,1.419,-19.825,0.202,-0.080,1.007,-19.962,-0.262,1.328,-19.862,0.382,Ball,Take
Sub_Test01,16,Active_Noise,Straight,High Inside,-0.116,1.208,-19.867,0.029,1.041,-19.867,0.222,-0.072,1.021,-19.945,-0.001,1.020,-19.720,0.236,Strike,Take
Sub_Test01,17,Active_Noise,Straight,Mid Inside,-0.174,1.077,-19.877,-0.036,1.117,-19.877,0.143,-0.081,0.944,-20.038,-0.072,1.130,-19.906,0.228,Strike,Take
Sub_Test01,18,Active_Noise,Straight,Mid Inside,-0.144,1.085,-19.904,-0.116,1.257,-19.904,0.174,-0.061,0.899,-20.068,-0.122,1.248,-19.952,0.373,Strike,Take
Sub_Test01,19,Active_Noise,Straight,Mid Inside,-0.129,1.073,-19.936,-0.085,1.319,-19.936,0.249,-0.062,0.914,-20.080,-0.095,1.260,-19.997,0.357,Ball,Take
Sub_Test01,20,Active_Noise,Straight,Mid Inside,-0.127,1.040,-19.958,-0.211,1.012,-19.958,0.089,-0.092,0.929,-20.085,-0.234,1.068,-19.916,0.261,Ball,Take
Sub_Test01,21,Active_Noise,Straight,Mid Inside,-0.144,1.030,-19.938,-0.175,1.125,-19.938,0.100,-0.065,0.888,-20.136,-0.178,1.094,-20.004,0.270,Strike,Take
Sub_Test01,22,Active_Noise,Straight,Mid Inside,-0.122,1.032,-20.027,0.021,1.175,-20.027,0.202,-0.094,0.937,-20.211,0.008,1.166,-20.039,0.304,Strike,Take
Sub_Test01,23,Active_Noise,Straight,Mid Inside,-0.136,1.041,-19.954,-0.314,1.124,-19.954,0.197,-0.077,0.857,-20.119,-0.489,1.048,-20.199,0.461,Ball_Missed,Take
Sub_Test01,24,Active_Noise,Straight,Mid Inside,-0.131,1.037,-19.947,-0.201,1.113,-19.947,0.103,-0.106,0.949,-20.080,-0.262,1.149,-20.085,0.253,Strike,Take
Sub_Test01,25,Active_Noise,Straight,Mid Inside,-0.161,1.039,-19.994,-0.178,0.937,-19.994,0.103,-0.143,0.918,-20.097,-0.183,0.957,-20.071,0.062,Ball,Take
Sub_Test01,26,Active_Noise,Straight,Mid Inside,-0.145,1.017,-19.990,-0.128,0.793,-19.990,0.224,-0.081,0.853,-20.137,-0.122,0.853,-20.120,0.045,Ball,Take
Sub_Test01,27,Active_Noise,Straight,Mid Inside,-0.157,0.927,-19.967,0.072,1.008,-19.967,0.243,-0.122,0.848,-20.126,0.026,0.943,-20.020,0.205,Ball,Take
Sub_Test01,28,Active_Noise,Straight,Low Inside,-0.163,0.789,-19.954,-0.336,0.820,-19.954,0.176,-0.118,0.788,-20.108,-0.311,0.825,-20.067,0.200,Ball_PassedBall,Take
Sub_Test01,29,Active_Noise,Straight,Low Inside,-0.149,0.877,-19.990,-0.319,1.016,-19.990,0.220,-0.234,0.811,-20.190,-0.440,0.955,-20.228,0.254,Ball,Take
Sub_Test01,30,Active_Noise,Straight,Low Inside,-0.126,0.905,-20.013,-0.136,0.691,-20.013,0.214,-0.129,0.844,-20.158,-0.180,0.619,-19.974,0.294,Strike,Take
Sub_Test01,31,Active_Noise,Straight,Mid Inside,-0.147,0.922,-19.990,-0.316,0.854,-19.990,0.182,-0.092,0.891,-20.088,-0.414,0.905,-20.066,0.323,Ball,Take
Sub_Test01,32,Active_Noise,Straight,Low Inside,-0.166,0.826,-20.029,-0.283,0.975,-20.029,0.190,-0.121,0.818,-20.090,-0.373,0.954,-20.192,0.304,Ball_Missed,Take
Sub_Test01,33,Active_Noise,Straight,Low Inside,-0.154,0.763,-19.977,-0.075,0.926,-19.977,0.181,-0.114,0.903,-20.057,-0.135,0.823,-20.078,0.086,Ball,Take
Sub_Test01,34,Active_Noise,Straight,Low Inside,-0.143,0.814,-19.947,-0.189,1.022,-19.947,0.213,-0.089,0.845,-20.070,-0.283,1.025,-20.060,0.265,Strike,Take
Sub_Test01,35,Active_Noise,Straight,Low Inside,-0.169,0.802,-19.976,-0.186,0.891,-19.976,0.091,-0.106,0.868,-20.104,-0.256,0.838,-20.093,0.153,Ball,Take
Sub_Test01,36,Active_Noise,Straight,Low Inside,-0.154,0.819,-19.993,0.079,0.853,-19.993,0.236,-0.123,0.802,-20.095,-0.009,0.837,-20.098,0.120,Ball,Take
Sub_Test01,37,Active_Noise,Straight,Low Inside,-0.138,0.797,-19.964,-0.206,0.953,-19.964,0.170,-0.122,0.840,-20.097,-0.361,0.916,-20.179,0.264,Ball,Take
