Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Pitch_Speed_Kmph,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,82,Active_Noise,Straight,98,High Outside,0.179,1.17,-19.855,0.137,0.966,-19.855,0.209,0.207,1.192,-19.867,0.074,1.065,-19.789,0.2,Strike,Take
Sub_Test01,83,Active_Noise,Straight,99,Mid Outside,0.199,1.057,-19.857,0.243,0.906,-19.857,0.158,0.199,1.035,-19.854,0.118,0.971,-19.804,0.115,Strike,Take
Sub_Test01,84,Active_Noise,Straight,96.2,Mid Outside,0.21,1.041,-19.851,0.157,0.812,-19.851,0.236,0.204,1.03,-19.849,0.117,0.874,-19.801,0.185,Strike,Take
Sub_Test01,85,Active_Noise,Straight,95.7,Mid Outside,0.198,1.041,-19.845,0.405,0.977,-19.845,0.216,0.191,1.025,-19.844,0.286,1.048,-19.851,0.099,Ball,Take
Sub_Test01,86,Active_Noise,Straight,97.9,Mid Outside,0.186,1.036,-19.842,0.21,0.967,-19.842,0.073,0.196,1.025,-19.845,0.183,0.996,-19.806,0.051,Strike,Take
Sub_Test01,87,Active_Noise,Straight,96.6,Mid Outside,0.204,1.01,-19.843,0.302,0.885,-19.843,0.159,0.218,0.992,-19.862,0.173,0.972,-19.774,0.101,Ball_Missed,Take
Sub_Test01,88,Active_Noise,Straight,96.9,Mid Outside,0.198,1.006,-19.853,0.106,1.138,-19.853,0.161,0.196,0.989,-19.851,0.133,1.074,-19.796,0.119,Strike_PassedBall,Take
Sub_Test01,89,Active_Noise,Straight,97.4,Mid Outside,0.198,0.997,-19.856,0.285,1.226,-19.856,0.245,0.198,0.992,-19.851,0.275,1.158,-19.806,0.189,Strike_PassedBall,Take
Sub_Test01,90,Active_Noise,Straight,95.9,Mid Outside,0.212,1.01,-19.858,0.088,0.938,-19.858,0.144,0.206,0.991,-19.851,0.134,0.893,-19.805,0.13,Strike,Take
Sub_Test01,91,Active_Noise,Straight,96.4,Mid Outside Ball,0.227,0.968,-19.845,0.392,0.871,-19.845,0.191,0.224,0.948,-19.846,0.264,0.914,-19.83,0.054,Ball,Take
