Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Inside,-0.147,1.249,-19.376,0.093,1.305,-19.376,0.247,-0.143,1.248,-19.371,0.019,1.173,-19.346,0.180,Strike,Swing
Sub_Test01,2,Active_Noise,Straight,High Inside,-0.153,1.274,-19.385,-0.226,1.040,-19.385,0.245,-0.145,1.253,-19.406,-0.239,0.949,-19.404,0.318,Strike,Take
Sub_Test01,3,Active_Noise,Straight,High Inside,-0.152,1.257,-19.381,-0.092,1.330,-19.381,0.095,-0.147,1.231,-19.366,-0.188,1.260,-19.358,0.052,Ball_PassedBall,Take
Sub_Test01,4,Active_Noise,Straight,High Inside,-0.174,1.261,-19.360,0.001,1.157,-19.360,0.204,-0.148,1.194,-19.401,-0.070,0.996,-19.367,0.216,Strike,Swing
Sub_Test01,5,Active_Noise,Straight,High Inside,-0.165,1.192,-19.409,-0.084,1.236,-19.409,0.092,-0.151,1.181,-19.452,-0.094,1.131,-19.444,0.076,Strike,Take
Sub_Test01,6,Active_Noise,Straight,High Inside,-0.170,1.166,-19.461,-0.136,1.044,-19.461,0.127,-0.164,1.189,-19.472,-0.155,1.028,-19.454,0.162,Strike,CheckSwing
Sub_Test01,7,Active_Noise,Straight,High Inside,-0.137,1.150,-19.616,-0.185,1.044,-19.616,0.116,-0.145,1.145,-19.594,-0.177,1.131,-19.538,0.066,Strike_PassedBall,Take
Sub_Test01,8,Active_Noise,Straight,High Inside,-0.156,1.165,-19.575,-0.367,1.067,-19.575,0.232,-0.167,1.138,-19.592,-0.315,1.036,-19.561,0.182,Ball,CheckSwing
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.147,1.130,-19.579,-0.219,1.112,-19.579,0.075,-0.162,1.114,-19.590,-0.202,1.046,-19.534,0.097,Strike,Swing
Sub_Test01,10,Active_Noise,Straight,High Inside,-0.152,1.141,-19.594,-0.256,1.046,-19.594,0.140,-0.163,1.221,-19.536,-0.252,1.036,-19.444,0.225,Ball,CheckSwing
Sub_Test01,11,Active_Noise,Straight,Mid Inside,-0.154,1.059,-19.668,-0.018,1.002,-19.668,0.148,-0.203,1.019,-19.616,-0.074,1.026,-19.601,0.131,Strike,Swing
Sub_Test01,12,Active_Noise,Straight,Mid Inside,-0.185,1.031,-19.609,-0.251,0.848,-19.609,0.194,-0.180,1.011,-19.615,-0.310,0.862,-19.500,0.229,Strike,Take
Sub_Test01,13,Active_Noise,Straight,Mid Inside,-0.174,1.044,-19.562,-0.344,1.171,-19.562,0.213,-0.189,1.011,-19.558,-0.177,1.049,-19.580,0.045,Strike_PassedBall,Swing
Sub_Test01,14,Active_Noise,Straight,Mid Inside,-0.176,1.049,-19.579,-0.102,1.139,-19.579,0.116,-0.216,1.019,-19.513,-0.143,1.114,-19.480,0.125,Strike,CheckSwing
Sub_Test01,15,Active_Noise,Straight,Low Inside Ball,-0.317,0.684,-19.738,-0.194,0.597,-19.738,0.151,-0.484,0.672,-19.771,-0.362,0.627,-19.746,0.132,Strike_PassedBall,Swing
Sub_Test01,16,Active_Noise,Straight,Mid Inside,-0.184,1.028,-19.573,-0.013,1.117,-19.573,0.193,-0.205,1.018,-19.538,-0.076,1.063,-19.472,0.152,Strike,Swing
