Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Pitch_Speed_Kmph,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,126.6,Mid-High Inside Ball,-0.220,1.157,-19.944,-0.295,1.389,-19.944,0.244,-0.043,1.259,-19.914,-0.187,1.220,-19.865,0.157,Ball_Missed,Take
Sub_Test01,2,Active_Noise,Straight,127.5,High Center,-0.066,1.264,-19.918,-0.121,1.179,-19.918,0.101,-0.109,1.241,-19.902,-0.123,1.229,-19.893,0.021,Strike,Take
Sub_Test01,3,Active_Noise,Straight,126.4,High Inside,-0.133,1.240,-19.910,-0.260,1.223,-19.910,0.128,-0.128,1.223,-19.901,-0.152,1.229,-19.905,0.025,Ball_PassedBall,Take
Sub_Test01,4,Active_Noise,Straight,127.0,High Inside,-0.125,1.216,-19.893,-0.059,1.222,-19.893,0.065,-0.157,1.198,-19.882,-0.039,1.125,-19.795,0.164,Strike,Take
Sub_Test01,5,Active_Noise,Straight,128.3,High Inside,-0.167,1.213,-19.894,-0.253,1.401,-19.894,0.206,-0.164,1.179,-19.876,-0.214,1.258,-19.881,0.093,Ball,Take
Sub_Test01,6,Active_Noise,Straight,129.3,High Inside,-0.183,1.166,-19.893,-0.080,1.379,-19.893,0.237,-0.202,1.151,-19.885,-0.037,1.328,-19.863,0.243,Ball,Take
Sub_Test01,7,Active_Noise,Straight,125.7,High Inside,-0.196,1.168,-19.920,-0.139,1.295,-19.920,0.139,-0.203,1.158,-19.923,-0.161,1.211,-19.834,0.112,Strike,Take
Sub_Test01,8,Active_Noise,Straight,126.0,High Inside,-0.209,1.152,-19.951,-0.064,1.270,-19.951,0.186,-0.210,1.135,-19.949,-0.137,1.221,-19.875,0.135,Ball,Take
Sub_Test01,9,Active_Noise,Straight,129.1,High Inside,-0.204,1.171,-19.948,-0.039,1.121,-19.948,0.173,-0.204,1.157,-19.957,-0.109,1.146,-19.875,0.126,Strike,Take
Sub_Test01,10,Active_Noise,Straight,125.6,High Inside,-0.218,1.149,-19.976,-0.368,1.102,-19.976,0.158,-0.230,1.127,-19.966,-0.289,1.109,-19.840,0.140,Ball,Take
Sub_Test01,11,Active_Noise,Straight,130.0,Mid-High Inside Ball,-0.225,1.131,-20.025,-0.333,1.318,-20.025,0.216,-0.168,1.095,-19.966,-0.179,1.041,-19.889,0.095,Ball,Take
Sub_Test01,12,Active_Noise,Straight,128.1,High Inside,-0.170,1.132,-19.961,-0.228,0.979,-19.961,0.163,-0.169,1.117,-19.971,-0.235,0.998,-19.862,0.174,Ball,Take
Sub_Test01,13,Active_Noise,Straight,129.2,High Inside,-0.177,1.154,-20.008,-0.340,1.054,-20.008,0.191,-0.192,1.132,-19.965,-0.298,1.164,-19.816,0.186,Ball_Missed,Take
Sub_Test01,14,Active_Noise,Straight,125.4,High Inside,-0.192,1.123,-19.952,-0.079,0.909,-19.952,0.242,-0.192,1.112,-19.953,0.014,0.828,-19.796,0.385,Ball_Missed,Take
Sub_Test01,15,Active_Noise,Straight,128.9,High Inside,-0.190,1.162,-19.967,-0.198,1.295,-19.967,0.134,-0.215,1.140,-19.965,-0.245,1.213,-19.886,0.112,Ball_PassedBall,Take
Sub_Test01,16,Active_Noise,Straight,126.6,Mid Inside,-0.185,0.979,-19.967,0.019,0.983,-19.967,0.204,-0.173,0.966,-19.978,0.046,0.854,-19.845,0.279,Ball,Take
