Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Inside,-0.086,1.283,-19.499,-0.229,1.334,-19.499,0.151,-0.131,1.268,-19.481,-0.287,1.24,-19.455,0.16,Ball_Missed,Take
Sub_Test01,2,Active_Noise,Straight,High Inside,-0.096,1.262,-19.464,-0.194,1.073,-19.464,0.212,-0.123,1.241,-19.444,-0.229,1.081,-19.362,0.209,Strike,Take
Sub_Test01,3,Active_Noise,Straight,High Inside,-0.11,1.256,-19.46,-0.261,1.393,-19.46,0.204,-0.1,1.219,-19.447,-0.232,1.286,-19.456,0.149,Ball_PassedBall,Take
Sub_Test01,4,Active_Noise,Straight,High Inside,-0.09,1.243,-19.457,-0.148,1.401,-19.457,0.169,-0.098,1.256,-19.438,-0.154,1.285,-19.44,0.063,Ball_PassedBall,Take
Sub_Test01,5,Active_Noise,Straight,High Inside,-0.119,1.26,-19.466,0.013,1.296,-19.466,0.137,-0.111,1.27,-19.455,-0.061,1.25,-19.453,0.053,Strike_PassedBall,Take
Sub_Test01,6,Active_Noise,Straight,High Center,-0.072,1.258,-19.463,-0.051,1.434,-19.463,0.177,-0.098,1.245,-19.451,-0.108,1.318,-19.42,0.08,Ball_PassedBall,Take
Sub_Test01,7,Active_Noise,Straight,High Inside,-0.081,1.251,-19.463,0.142,1.264,-19.463,0.223,-0.083,1.225,-19.449,0.109,1.211,-19.434,0.193,Strike,Take
Sub_Test01,8,Active_Noise,Straight,High Center,-0.073,1.201,-19.449,-0.223,1.045,-19.449,0.217,-0.088,1.211,-19.447,-0.146,1.16,-19.419,0.082,Strike,Take
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.142,1.232,-19.47,-0.106,1.283,-19.47,0.063,-0.136,1.215,-19.459,-0.082,1.183,-19.405,0.083,Strike,Take
Sub_Test01,10,Active_Noise,Straight,High Inside,-0.126,1.25,-19.477,-0.097,1.025,-19.477,0.227,-0.126,1.224,-19.463,-0.116,1.095,-19.398,0.144,Strike_PassedBall,Take
Sub_Test01,11,Active_Noise,Straight,High Inside,-0.121,1.22,-19.459,0.089,1.131,-19.459,0.229,-0.123,1.211,-19.449,0.018,1.129,-19.419,0.166,Strike,Take
Sub_Test01,12,Active_Noise,Straight,High Inside,-0.096,1.236,-19.434,-0.005,1.104,-19.434,0.16,-0.098,1.201,-19.439,-0.014,1.118,-19.389,0.129,Strike,Take
Sub_Test01,13,Active_Noise,Straight,Mid Inside,-0.15,1.067,-19.49,-0.314,0.893,-19.49,0.239,-0.165,1.054,-19.482,-0.278,0.998,-19.44,0.132,Ball,Take
